Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5
74	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_85,1.000,-3.000,150.000,150.000)	Pic(rect_85,1.000,-3.000,150.000,150.000)	
75	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_45,1.000,3.000,150.000,150.000)	Pic(rect_165,1.000,-3.000,150.000,150.000)	Pic(rect_165,1.000,-3.000,150.000,150.000)	
76	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_165,1.000,-3.000,150.000,150.000)	Pic(rect_165,1.000,-3.000,150.000,150.000)	
77	't_info', 'T1 Change' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_30,1.000,3.000,150.000,150.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
78	't_info', 'Same' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_30,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
79	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_180,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,3.000,150.000,150.000)	Pic(rect_80,1.000,-3.000,150.000,150.000)	Pic(rect_80,1.000,-3.000,150.000,150.000)	
80	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_180,1.000,3.000,150.000,150.000)	Pic(rect_180,1.000,3.000,150.000,150.000)	Pic(rect_80,1.000,-3.000,150.000,150.000)	Pic(rect_80,1.000,-3.000,150.000,150.000)	
81	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_175,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
82	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
83	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_160,1.000,-3.000,150.000,150.000)	Pic(rect_160,1.000,-3.000,150.000,150.000)	
